Year,SecchiJulAug,chlaJulAug
1964,11,?
1965,12.4285714,?
1966,9.50625,?
1967,9.42857143,?
1968,11.05,?
1969,11.5416667,?
1973,13.1,?
1975,7,?
1976,13.3928571,?
1977,13.4090909,?
1979,11.5277778,0.92138889
1980,12.8214286,0.57375
1981,14.7333333,1.31375
1982,14.0625,0.65458333
1983,14.8571429,0.32583333
1984,?,?
1985,9.96666667,0.5125
1986,10.6923077,1.3825
1987,11.2142857,0.59666667
1988,10.8947368,0.8675
1989,11.1944444,1.06
1990,10.5,1.18416667
1991,13.15,0.80083333
1992,11.5333333,1.0865
1993,11.3571429,1.21
1994,9.58333333,1.54041667
1995,9.33333333,2.1475
1996,14.1956522,1.53116667
1997,14.0869565,1.433125
1998,15.44,1.198125
1999,11.7916667,2.253125
2000,15.2142857,1.59375
2001,14.4285714,0.92041667
2002,12.175,1.07345254
